url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),Soup,name_address
https://www.zomato.com/bangalore/lasagna-1-sahakara-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjQ5NzAwIiwiMTg2NzM4NjciLCIxODc2Njg4NyIsIjE4ODkzNDEyIiwxODk0MTU5NiwiMTg4MDc0NzMiLCIxODk2NzkxNyIsIjU4MjM1IiwiNTQ2ODciLCIxODU4NjIyOSIsIjE4NTk3MDA5IiwiMTg1NzQ1NTMiLCIxODIzMjY2MCIsIjE4NjU3MjgxIiwiMTg4MDEzMDUiLCIxODc1ODk2NCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gTmV3IEJFTCBSb2FkIn19,"1638/11, 8th A Main, CQAL Layout, B Block, Sahakara Nagar, Bangalore",Lasagna, , ,NEW,0,+91 8951274428,Sahakara Nagar,Quick Bites,-,Italian,300,Delivery,sahakara nagar lasagna quick bites italian delivery,"Lasagna,1638/11, 8th A Main, CQAL Layout, B Block, Sahakara Nagar, Bangalore"
https://www.zomato.com/bangalore/dallas-hot-cold-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4OTQ3Mjg1IiwiMTg5MzQxODQiLCIxODM2NDU0MCIsIjE4NjYyMDI0IiwxODY2MjMwMSwiMTg3MDM4NzMiLCIxODc4MDU3OSIsIjE4Nzc4OTYzIiwiMTg3ODU3NzUiLCIxODg4Njg4NiIsIjE4ODcxMDQ4IiwiMTg4OTY5MzkiLCIxODc4MzU0MiIsIjE4Nzc4OTk3IiwiMTg3OTY3NTgiLCIxODU0MTQ5MiIsIjE4NzExODI3IiwiMTg1NzY4NjMiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19,"3/1, Varavenue, Eshwar Layout, RBI Layout, 7th phase, JP Nagar, Bangalore",Dallas Hot & Cold, , ,-,0,+91 9847838686,JP Nagar,Quick Bites,-,Fast Food,300,Dine-out,jp nagar dallas hot cold quick bites fast food dine out,"Dallas Hot & Cold,3/1, Varavenue, Eshwar Layout, RBI Layout, 7th phase, JP Nagar, Bangalore"
https://www.zomato.com/bangalore/little-italy-sarjapur-road?context=eyJzZSI6eyJlIjpbIjE4Njg0ODMwIiwiMTg1Mjk1NTkiLCIxODYyMjQxMCIsIjU2ODc2IiwxODM1OTg3OCwiNTU4NDYiLCI1MjQ4NCIsIjU0MTU3IiwiNTI2MDMiLCI1NzE0OCJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmVsbGFuZHVyIHNlcnZpbmcgQnVmZmV0In19,"12/3/2, Ambalipura Village, Sarjapur Road, Bangalore",Little Italy,online order,book table,4.3/5,715,"+91 9538695000
080 48539052",Sarjapur Road,Casual Dining,"Pasta, Pizza, Enchiladas, Mushroom Soup, Salads, Mocktails, Salad","Italian, Pizza","1,500",Buffet,sarjapur road little italy online order book table casual dining pasta pizza enchiladas mushroom soup salads mocktails salad italian pizza buffet,"Little Italy,12/3/2, Ambalipura Village, Sarjapur Road, Bangalore"
https://www.zomato.com/bangalore/sagar-samrat-new-bel-road?context=eyJzZSI6eyJlIjpbIjUwMTUxIiwiMTg0NTc1OTQiLCIxODkyNDQxOSIsIjE4ODk1ODMwIiw1NDkyOCwiNjA4MTkiLCI1NDYyNyIsIjE4NjQwMDk3IiwiMTg3NjI5MTEiLCIxODYzMDYwNSIsIjE4NzIwMTUzIiwiNjEyOTMiLCI1MDY3OSIsIjE4Mjc1Njk4IiwiNTc2NjQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIE1hbGxlc2h3YXJhbSJ9fQ==,"186, Opposite Ramaiah Hospital, RMV 2nd Stage, New BEL Road, Bangalore",Sagar Samrat,online order, ,3.7 /5,119,-,New BEL Road,Casual Dining,"Chaat, Mysore Masala Dosa, Onion Dosa, Vegetable Biryani, Filter Coffee, Panipuri, Pav Bhaji","North Indian, Chinese, South Indian",400,Delivery,new bel road sagar samrat online order casual dining chaat mysore masala dosa onion dosa vegetable biryani filter coffee panipuri pav bhaji north indian chinese south indian delivery,"Sagar Samrat,186, Opposite Ramaiah Hospital, RMV 2nd Stage, New BEL Road, Bangalore"
https://www.zomato.com/bangalore/sri-krishna-banaswadi-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjgwMzU2IiwiMTg3NDc3NDgiLCIxODc1NTQ3MyIsIjE4NzYxMTMzIiwxODc2MTE5MCwiMTg3NjYyMzYiLCIxODc2MjcwNiIsIjE4NzYyMzk0IiwiNTIyNTYiLCI1NzM5NyIsIjU0MjkxIiwiMTg0MjY0MDciLCIxODU3MTIxNSIsIjE4NTgzOTkwIiwiNTY5MjYiLCI2MTQ0NSIsIjE4MjM3OTA5IiwiMTg2NzEyNjAiLCIxODY4NDE3NiIsIjE4NDYwMDM5IiwiMTg0ODkxMzMiLCIxODY3ODA1MCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gS2FseWFuIE5hZ2FyIn19,"Number 2, NGEF Layout, Kasturi Nagar, Banaswadi, Bangalore",Sri Krishna, , ,-,0,"+91 8197722899
+91 9844110922",Banaswadi,Quick Bites,-,Fast Food,300,Delivery,banaswadi sri krishna quick bites fast food delivery,"Sri Krishna,Number 2, NGEF Layout, Kasturi Nagar, Banaswadi, Bangalore"
https://www.zomato.com/bangalore/tuba-rolls-snacks-electronic-city?context=eyJzZSI6eyJlIjpbIjE4Mjc1MDMwIiwiNTczNzIiLCI1NDcwNSIsIjE4MzkxMDAzIiwxODY0Njc3NCwiMTg5MzA0OTQiLCIxODQwNzkwMiIsIjE4ODgxMjM1IiwiNTI0MjIiLCIxODkwMTI2NyIsIjE4NjI4MTkyIiwiMTgwMjIyNjMiLCIxODcyMzM1NiIsIjE4OTI0Njk2IiwiMTg4MjQ4NDAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEVsZWN0cm9uaWMgQ2l0eSJ9fQ==,"123, 13th Cross, Neeladrinagar Main Road, Opposite Ajmera apartment Infinity, Electronic City, Bangalore",Tuba Rolls & Snacks,online order, ,3.0/5,58,"+91 9743364958
+91 8197205418",Electronic City,Quick Bites,-,"Chinese, Fast Food, North Indian, Rolls",200,Delivery,electronic city tuba rolls snacks online order quick bites chinese fast food north indian rolls delivery,"Tuba Rolls & Snacks,123, 13th Cross, Neeladrinagar Main Road, Opposite Ajmera apartment Infinity, Electronic City, Bangalore"
https://www.zomato.com/bangalore/olive-garden-kalyan-nagar?context=eyJzZSI6eyJlIjpbIjU0NzM0IiwiMTg2ODc5OTgiLCIxODkwMjY0MCIsIjE4NjYzNTUyIiw1MTMzOCwiNTE3OTQiLCIxODc0Mjg0MSIsIjE4NjI3NjM3IiwiMTgyNjMzOTUiLCI1MDk1NiIsIjUwMjc5IiwiNTY3MzgiLCI1MTQ1NSIsIjE4NTg1MzM5IiwiMTgzMDg3NzciLCIxODcwNTE2NCIsIjU4NTczIiwiMTg1OTY3OTIiLCIxODUxMTYxOSIsIjE4MzcxMjQ0IiwiNjA2NzQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEthbHlhbiBOYWdhciJ9fQ==,"414, CMRC Road, 4th Cross, HRBR Layout, Kalyan Nagar, Bangalore",Olive Garden,online order, ,3.7/5,214,"080 25429055
080 25420552",Kalyan Nagar,Casual Dining,"Shawarma, Al Faham Chicken, Noodles, Mutton Chops, Chicken Grill, Sweet Lassi, Biryani","Arabian, North Indian, Chinese, Beverages",700,Delivery,kalyan nagar olive garden online order casual dining shawarma al faham chicken noodles mutton chops chicken grill sweet lassi biryani arabian north indian chinese beverages delivery,"Olive Garden,414, CMRC Road, 4th Cross, HRBR Layout, Kalyan Nagar, Bangalore"
https://www.zomato.com/bangalore/gharelu-zaika-2-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODcxMDQ4IiwiNTE4MzIiLCI2MDg5NiIsIjE4MzA0NzIxIiwxODcxNTQxOCwiMTg5MjY3NDQiLCIxODYwMTYzNCIsIjE4MjI0NjUzIiwiMTg3MzkzNjIiLCIxODM1Mzc4NiIsIjE4MzA0NzQwIiwiMTg3NTQ4ODkiLCIxODgwNjkxMSIsIjE4NTQxNjQxIiwiMTg0ODc0NzkiLCIxODQ4MDAyNyIsIjE4NTc1NDg5IiwiMTg2NDA2NzgiLCIxODMwNTY0OCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=,"5th Phase, JP Nagar, Bangalore, Bengaluru",Gharelu Zaika,online order, ,3.7/5,22,+91 9916122646,JP Nagar,Delivery,-,North Indian,250,Delivery,jp nagar gharelu zaika online order delivery north indian delivery,"Gharelu Zaika,5th Phase, JP Nagar, Bangalore, Bengaluru"
https://www.zomato.com/bangalore/mcdonalds-new-bel-road?context=eyJzZSI6eyJlIjpbIjE4NzYyOTExIiwiMTg2MzA2MDUiLCIxODcyMDE1MyIsIjYxMjkzIiw1MDY3OSwiMTgyNzU2OTgiLCI1NzY2NCIsIjE4NzAyMzAxIiwiMTg3MjU4MDMiLCIxODQ5OTcxOCIsIjE4NjkxMTczIiwiNTY3NTgiLCI2MTI4MyIsIjE4NzE1MTM0IiwiNTkxNzUiLCI1MzE3OCIsIjU1NDMyIiwiMTg1ODgxMTIiLCI1OTc0NSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gTWFsbGVzaHdhcmFtIn19,"Ground Floor, Shashi Arcade, 215, Near MS Ramaiah Campus, New BEL Road, Bangalore",McDonald's,online order, ,3.9 /5,281,+91 8928304085,New BEL Road,Quick Bites,"Burgers, Coke Float, French Fries","Fast Food, Burger",500,Delivery,new bel road mcdonald s online order quick bites burgers coke float french fries fast food burger delivery,"McDonald's,Ground Floor, Shashi Arcade, 215, Near MS Ramaiah Campus, New BEL Road, Bangalore"
https://www.zomato.com/bangalore/italy-hsr?context=eyJzZSI6eyJlIjpbIjE4NTg4NjI1IiwiMTg3OTM2NzIiLCI1NjgyOCIsIjE4NDY4ODE1IiwxODMzOTg4NywiMTg0NzE3MTUiLCIxODcxNTE1NiIsIjE4NjczNzMzIiwiMTg5MjcyNTciLCIxODU4MTkzMyIsIjE4NDIyODgwIiwiMTgzNzUzNTgiLCIxODQxMjQzNSIsIjE4NzQ3NjY0IiwiMTg3OTc2MjQiLCIxODg4MjczNCIsIjE4NjA4OTk3IiwiMTg2MjE5MzciLCIxODU4ODU2MyIsIjE4Njk0MjAwIiwiMTg3NDY0ODciLCIxODc5NzU4OCIsIjE4NjA4NTEyIiwiMTg3OTU5NTIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEhTUiJ9fQ==,"17/9 Krishna Kuteer Food Court, 18th Cross Sector 3, HSR, Bangalore",@Italy, , ,3.5/5,40,"+91 9686860039
+91 9886131496",HSR,Quick Bites,"Pizza, Risotto, Aglio Olio Pasta, Pasta Barbaresca","Italian, Pizza",700,Delivery,hsr italy quick bites pizza risotto aglio olio pasta pasta barbaresca italian pizza delivery,"@Italy,17/9 Krishna Kuteer Food Court, 18th Cross Sector 3, HSR, Bangalore"
